timestamp,x,y,z
564023,26.17261,-94.41422,-30.369637
,27.322796,-93.80542,-29.568491
,26.602491,-96.08121,-30.668015
,26.16023,-92.81691,-29.946217
564102,26.692436,-95.301704,-30.670624
,27.11465,-95.370384,-30.405256
,27.977917,-95.50377,-29.313198
,26.020227,-92.007034,-30.64283
564182,25.930176,-97.30654,-31.862022
,28.973974,-94.08807,-29.629656
,26.368267,-95.77195,-30.331255
,27.917122,-95.236786,-29.966393
564261,27.801098,-94.142075,-28.790258
,29.014612,-95.679436,-29.211096
,28.57442,-95.05498,-27.695593
,24.944397,-98.160515,-28.922709
564340,26.386217,-96.80853,-28.272152
,24.89894,-101.09013,-30.703403
,27.658459,-95.97303,-28.833498
,26.882498,-97.70097,-29.27479
564419,27.270851,-98.81713,-28.493948
,25.02963,-97.382,-29.065649
,25.958433,-97.30059,-31.02004
,25.39148,-96.903824,-28.282377
564499,25.799562,-96.97548,-28.438
,27.079905,-97.45841,-28.391998
,25.930925,-101.26679,-30.74163
,26.82509,-98.75341,-29.460966
564579,25.991722,-101.533775,-30.088436
,27.162071,-99.6006,-29.05266
,25.397509,-95.582405,-28.468737
,24.792017,-95.75331,-29.195904
564658,25.671621,-93.52278,-29.507326
,25.71522,-96.71345,-29.792845
,25.932356,-95.42638,-29.846518
,25.224539,-94.77947,-30.14766
564737,23.60076,-95.05061,-31.586706
,24.982534,-97.391914,-30.46895
,24.995344,-98.70935,-29.721272
,25.150795,-98.19585,-28.930355
564816,25.783255,-98.85861,-30.874496
,24.05034,-96.1539,-28.981573
,25.23089,-97.6982,-30.384722
,24.315895,-93.5365,-27.958632
564896,23.485949,-97.1555,-31.95906
,26.611025,-97.119774,-28.889572
,25.152115,-96.87543,-29.257042
,25.221899,-97.4203,-29.494284
564975,25.07544,-98.21171,-31.175636
,24.834404,-95.74439,-27.932934
,25.918655,-95.149475,-29.09641
,23.29839,-97.1162,-31.390095
565054,24.352282,-94.36819,-30.349281
,26.302301,-96.266624,-28.455898
,23.41024,-93.412025,-30.31366
,26.059868,-99.15894,-29.948286
565133,25.141054,-93.957695,-29.16031
,23.172516,-96.30335,-31.665718
,24.087591,-96.42584,-29.03003
,22.569204,-94.594086,-30.377382
565213,24.803076,-98.67105,-29.292637
,22.911324,-95.160416,-28.657648
,26.128443,-96.504234,-28.63704
,24.10129,-96.702736,-29.780134
565292,23.876484,-96.3915,-29.162714
,25.087038,-96.32956,-28.87947
,26.625153,-97.1168,-28.46858
,24.40748,-95.676704,-28.338633
565372,26.443192,-96.035965,-29.257069
,25.263426,-97.97113,-30.573507
,24.366842,-94.085335,-28.757195
,25.226286,-93.179184,-29.303251
565451,25.383057,-91.34526,-28.839022
,24.303085,-92.219055,-28.706308
,23.045433,-92.29091,-30.392853
,24.22805,-96.47505,-31.002296
565530,25.286655,-93.72604,-29.821152
,23.771658,-93.21372,-30.701487
,25.634373,-93.25084,-29.458872
,24.706459,-92.2917,-29.00226
565610,24.917566,-92.32604,-28.869576
,23.668446,-93.436455,-28.777676
,25.102945,-94.2455,-31.454048
,24.485073,-92.81909,-31.7578
565689,26.82006,-94.51427,-29.550592
,23.346054,-91.825615,-31.433872
,26.690796,-92.381996,-30.293232
,26.77132,-91.60447,-30.576502
565768,27.27438,-95.13576,-30.645105
,24.563389,-94.40253,-30.216597
,26.830797,-93.19187,-29.596619
,25.81854,-91.97071,-30.494854
565847,23.996464,-93.524956,-31.318907
,26.620121,-92.87766,-28.558207
,26.986248,-92.67836,-28.805702
,25.588593,-91.94034,-31.18886
565927,26.204824,-90.44704,-30.507717
,27.400362,-91.428604,-29.147682
,25.587275,-93.26075,-30.862173
,24.635384,-92.58644,-32.27831
566006,26.988886,-90.03753,-29.459078
,25.739334,-91.42782,-30.538273
,27.279198,-90.61476,-29.282974
,24.451324,-89.346565,-30.020525
566085,25.461403,-92.4479,-31.137794
,25.699127,-89.55657,-29.785738
,26.46599,-92.070755,-29.675812
,26.799257,-87.35838,-29.683817
566165,24.801573,-90.75054,-31.533419
,27.698023,-89.364006,-29.484623
,27.557133,-89.59467,-28.683453
,26.099865,-92.27005,-29.428314
566244,27.864962,-91.488365,-27.619343
,25.99022,-93.613266,-32.32922
,28.110817,-89.43467,-29.499914
,28.87593,-93.54914,-30.234396
566324,27.307028,-90.88869,-29.612091
,28.310755,-91.07129,-30.4923
,27.070732,-87.93958,-30.069033
,26.537983,-90.25468,-31.737524
566403,27.0865,-90.85633,-30.025434
,28.472233,-89.23637,-29.88774
,29.245556,-90.14926,-28.793074
,27.776798,-90.18678,-30.6123
566482,28.787415,-88.48823,-29.336674
,27.901918,-87.039375,-31.45707
,27.746008,-88.31355,-29.579105
,28.247427,-88.925125,-29.270319
566561,26.42328,-87.83954,-30.888077
,27.567009,-88.83202,-31.071672
,26.976536,-87.95941,-32.875633
,27.775156,-87.26707,-30.23491
566641,29.088465,-87.743065,-29.206598
,28.023512,-87.57335,-30.15068
,28.472343,-84.71637,-28.66594
,28.279537,-89.477936,-30.630201
566720,27.600868,-87.78454,-31.587145
,26.443438,-86.51516,-30.653442
,28.380219,-87.37603,-30.678835
,26.637915,-84.192505,-32.90655
566799,27.265636,-85.33706,-31.151043
,28.63503,-86.08104,-29.609869
,29.99162,-85.50757,-28.81637
,26.90344,-82.0559,-28.043633
566878,28.586617,-87.41136,-30.686481
,29.353586,-85.40554,-29.354753
,28.412756,-87.648964,-30.867622
,28.82477,-84.24017,-28.163328
566958,27.617636,-85.14074,-31.819529
,28.799473,-85.84541,-29.709389
,26.149734,-84.6185,-31.296564
,30.306368,-85.03931,-29.4364
567038,29.246124,-84.8686,-30.240152
,29.33989,-85.12865,-28.604647
,28.66975,-84.47381,-27.783148
,27.057169,-82.66189,-31.937101
567117,26.807924,-83.39615,-30.523548
,28.86159,-84.791985,-29.382881
,27.872879,-83.56587,-29.579466
,26.493633,-83.103745,-32.572395
567196,28.402584,-83.6907,-32.268673
,30.284998,-83.16409,-28.122545
,28.260912,-80.441895,-28.74792
,27.905416,-83.8388,-29.768251
567275,28.898836,-85.06393,-29.431335
,28.617514,-84.76459,-30.497875
,26.932156,-81.28928,-29.870531
,25.544245,-84.78941,-32.02373
567355,29.586172,-82.79508,-29.314123
,28.092974,-83.8781,-30.337215
,29.28687,-81.93996,-28.59979
,27.501612,-84.04603,-30.643396
567434,27.115866,-80.76983,-28.237635
,29.729673,-80.40439,-26.928692
,27.356441,-83.99781,-28.811459
,28.948572,-82.41318,-28.68141
567513,27.564589,-82.432846,-27.974695
,28.751486,-86.895874,-29.614904
,27.502043,-83.76616,-29.4723
,28.773394,-83.97121,-28.535862
567592,29.377245,-80.880585,-27.431301
,28.31821,-83.90946,-29.783543
,29.49491,-84.895004,-28.984827
,29.47825,-83.01881,-27.530642
567671,25.795666,-82.17498,-31.421782
,28.271112,-83.91938,-31.186842
,29.688925,-83.333015,-28.569054
,27.759386,-84.35033,-30.278507
567751,26.71031,-82.57735,-29.95719
,28.037317,-83.330246,-29.678986
,26.575449,-81.4866,-29.342377
,27.141945,-82.64404,-29.411161
567831,27.746117,-83.79356,-28.357304
,29.572903,-82.23831,-27.39292
,29.303959,-83.536285,-28.88288
,27.137236,-82.645035,-29.55149
567910,28.02319,-83.33322,-30.099976
,26.571949,-84.68718,-31.031195
,27.717428,-84.07938,-30.37038
,28.763113,-84.532936,-31.158714
567989,27.52987,-84.040085,-29.801414
,27.081146,-82.37705,-30.064356
,27.347021,-83.999794,-29.09212
,26.213171,-82.24465,-31.296743
568069,27.722137,-84.078384,-30.230051
,29.512106,-81.97133,-28.046116
,28.14271,-81.22735,-29.58729
,27.258505,-78.93888,-28.194397
568148,29.584421,-84.39538,-30.158531
,27.290936,-83.73182,-29.604984
,25.884722,-82.43602,-29.926607
,25.218431,-82.33994,-31.30697
568227,27.18861,-82.914,-29.178957
,28.433453,-81.52471,-28.240091
,26.406189,-86.24322,-30.604988
,28.335732,-85.225914,-28.895535
568306,28.127693,-82.27087,-28.510498
,26.349325,-82.49577,-28.398268
,29.527445,-85.16794,-29.173613
,26.790836,-81.79982,-30.240458
