timestamp,x,y,z
560533,-0.09810923,-0.07657306,9.944926
,-0.06460852,-0.08135887,9.925783
,-0.27997026,0.13400285,9.928176
,-0.0071787243,-0.07896597,9.906639
560613,-0.21536173,0.016750356,10.107644
,-0.12682413,-0.06460852,9.947319
,-0.10050214,-0.10050214,9.937747
,-0.09810923,-0.035893623,9.937747
560692,-0.09571633,-0.067001425,9.925783
,-0.055036888,-0.067001425,9.9425335
,-0.071787246,-0.11485959,9.906639
,-0.06460852,-0.08375178,9.899461
560771,-0.08614469,-0.10289505,9.906639
,-0.10289505,-0.040679436,9.923389
,-0.1172525,-0.09332342,9.8922825
,-0.09093051,-0.055036888,9.930569
560850,-0.0071787243,0.011964541,9.86596
,-1.1605604,0.33979294,11.737214
,0.20100428,1.1007377,11.131808
,-1.0744157,2.9911351,12.376121
560929,1.3519931,0.27518442,8.770008
,-0.60301286,0.33740005,12.031542
,-0.37568656,0.2368979,12.502945
,-0.208183,1.0361292,14.024835
561009,-0.80162424,0.0598227,14.223446
,-0.60540575,-1.067237,12.656091
,-1.0887731,-0.7872668,12.790093
,-0.93323416,-1.4644598,12.347405
561088,-0.78008807,-1.4907818,11.68457
,-0.6484781,-0.35893622,11.674998
,-0.8901618,-1.5123179,11.469209
,-0.7513731,-0.57908374,11.150951
561167,-0.7441944,-0.13878867,10.504867
,-0.45225963,-0.22493336,10.155502
,-1.170132,0.071787246,11.5218525
,-1.0959519,-0.13400285,11.182059
561247,-1.1892753,0.08614469,11.158131
,-0.6125845,0.885376,10.521617
,-0.86862564,0.571905,10.437865
,-1.3663505,0.1483603,10.705871
561327,-1.067237,0.31586388,9.904246
,-0.96434194,0.66044265,9.294055
,-1.067237,0.51926106,8.92794
,-1.2945633,0.34936458,7.9277043
561406,-1.4285661,0.6125845,7.733879
,-1.9071478,0.8566611,7.4778376
,-1.0887731,0.6173703,6.190453
,-0.9475916,1.3208853,6.31967
561485,-0.99066395,1.639142,6.3627424
,-1.2179902,1.3591717,6.3914576
,-1.6989647,0.9834852,7.288798
,-1.3998512,1.1342385,7.1691527
561564,-0.9212696,2.1966896,7.262476
,-0.79205257,3.0653152,7.5400534
,-0.9786994,3.0413861,7.853524
,-1.6008555,2.163189,8.502003
561643,-1.6726427,1.7348584,8.138281
,-1.2586696,2.6441634,8.186138
,-1.1485959,2.8571322,8.463716
,-1.2802058,3.1203523,9.270126
561723,-1.3567789,2.7446656,9.219875
,-1.5194967,2.3259068,8.975799
,-1.6989647,2.6441634,9.02605
,-1.4548881,2.7135577,9.15048
561802,-1.5123179,2.988742,10.052607
,-1.3783151,2.2947989,10.105251
,-1.3974583,2.6106627,9.894675
,-1.5577831,2.6417706,9.904246
