timestamp,x,y,z
560533,27.729132,-95.47736,-30.568523
,27.946268,-94.19029,-30.622194
,27.848654,-93.3715,-30.055838
,24.943645,-94.20026,-30.043102
560613,25.570187,-91.66443,-30.579082
,27.693634,-93.60513,-29.67566
,26.911324,-92.41435,-29.879889
,27.917122,-95.236786,-29.966393
560692,27.555704,-95.43509,-29.578566
,27.276909,-97.01493,-32.520283
,25.897207,-97.31348,-32.844334
,25.766273,-92.74229,-29.369606
560771,28.608627,-97.76683,-32.101746
,25.607433,-91.93637,-30.627539
,29.839771,-96.10063,-30.412775
,27.479458,-96.4915,-30.326063
560850,26.256094,-95.236,-31.356983
,27.13777,-95.6453,-30.874702
,27.036764,-93.50708,-30.775362
,27.852045,-94.69092,-29.588821
560929,29.069057,-93.0277,-28.320839
,26.852596,-94.7872,-29.739378
,25.633913,-94.011505,-26.789991
,25.69167,-96.71841,-30.494495
561009,26.65298,-97.390724,-28.797697
,24.71916,-98.12915,-29.476385
,25.033913,-97.66088,-30.096416
,24.366411,-94.36521,-29.928291
561088,23.896212,-95.346985,-30.099178
,23.627699,-96.36509,-30.41804
,24.299587,-95.41963,-30.395128
,25.162853,-95.553024,-29.30307
561167,23.61018,-95.04864,-31.306046
,23.013216,-96.2581,-30.254772
,21.99329,-93.43863,-30.589256
,23.318657,-91.27182,-29.93366
561247,25.161991,-96.11277,-31.645262
,25.269564,-92.12972,-29.538063
,26.692436,-95.301704,-30.670624
,25.730776,-90.870056,-28.47674
561327,23.941238,-92.697235,-29.48958
,26.090874,-91.992165,-28.53788
,25.597126,-92.9789,-29.410416
,26.239864,-93.07993,-28.731703
561406,24.582794,-89.11789,-31.102354
,26.735823,-89.73223,-29.683636
,27.55417,-87.99538,-27.979374
,25.60886,-86.095955,-29.732426
561485,27.301107,-87.69009,-28.203932
,24.865438,-88.09682,-30.362503
,26.675026,-89.46524,-30.33683
,27.72892,-86.71723,-29.296017
561564,27.082357,-85.576645,-31.612843
,27.695951,-86.724174,-30.278328
,28.498852,-86.31071,-28.668367
,27.153004,-85.561775,-29.507893
561643,28.211067,-87.61264,-30.719646
,27.55342,-84.035126,-29.099766
,28.139963,-88.38818,-30.155716
,28.132725,-86.51,-28.420872
561723,28.055698,-84.08695,-26.448786
,27.362362,-87.1964,-30.219616
,28.04114,-84.3698,-28.04087
,25.651707,-85.32636,-31.138334
561802,27.612896,-85.62253,-28.119883
,28.390068,-87.09418,-29.22708
,26.464458,-84.631035,-28.076618
,27.001055,-82.8747,-28.609991
