timestamp,x,y,z
548160,25.582565,-93.26174,-31.002502
,27.109617,-91.13124,-30.49488
,27.310417,-92.20811,-29.145073
,27.210623,-93.26947,-30.594221
548239,26.678415,-90.78468,-29.869814
,25.93938,-88.54442,-30.308857
,24.865438,-88.09682,-30.362503
,27.310417,-92.20811,-29.145073
548318,24.801573,-90.75054,-31.533419
,26.729362,-91.33352,-30.668375
,25.591555,-93.53963,-31.892937
,26.252811,-89.39657,-30.6022
548397,25.351408,-90.031784,-30.148018
,25.735514,-90.38827,-32.176384
,24.423065,-89.352516,-30.862505
,25.860067,-92.52153,-31.574076
548476,27.044113,-90.86525,-31.288406
,26.269012,-92.03344,-29.387505
,25.754354,-90.3843,-31.615065
,25.469181,-89.5262,-30.479742
548556,27.020994,-90.59033,-30.818958
,27.26935,-90.896614,-30.734732
,26.221483,-92.32323,-31.961903
,28.435307,-93.20455,-29.889988
548635,24.888556,-88.371735,-30.83195
,25.396004,-87.661896,-30.709518
,25.284584,-91.086205,-30.614855
,25.582134,-93.54161,-32.173595
548714,25.431395,-94.05413,-32.824184
,26.772963,-94.524185,-30.953894
,27.444847,-93.57872,-30.930983
,26.44804,-91.03418,-31.734915
548793,25.33685,-90.31463,-31.740105
,26.259594,-92.03542,-29.668165
,25.092773,-90.28723,-32.8551
,25.555626,-91.94727,-32.17117
548873,24.271894,-90.14491,-32.684185
,25.50643,-89.79815,-30.528198
,25.744474,-91.14695,-29.226847
,24.971933,-93.71351,-33.041096
548953,28.571918,-92.69501,-29.660393
,25.555626,-91.94727,-32.17117
,28.532034,-95.063896,-28.958563
,26.358957,-91.25394,-29.390114
549032,24.431057,-95.19095,-31.476957
,26.055267,-94.63993,-28.866816
,25.558128,-94.307236,-30.20637
,25.64982,-91.927444,-29.364569
549111,27.467508,-94.61431,-28.73155
,24.08092,-89.26698,-28.742262
,24.583548,-93.07815,-29.981964
,23.55584,-93.180374,-30.9745
549190,23.363573,-93.14207,-30.545864
,26.716738,-99.257,-28.848583
,25.926435,-92.22778,-28.438358
,25.414276,-92.93861,-28.70112
549270,23.927,-97.220215,-31.132372
,24.130436,-95.65624,-30.435938
,25.159353,-98.75361,-30.991888
,25.066988,-93.13394,-27.892303
549349,26.106215,-95.188774,-29.665377
,24.39424,-94.63914,-30.257406
,24.023403,-94.839424,-30.15024
,25.591984,-93.25976,-30.721842
549428,24.822052,-93.66628,-31.34949
,25.232317,-91.85778,-29.489607
,24.495245,-96.77737,-30.356745
,24.016623,-92.20058,-31.084274
549507,25.768023,-91.142,-28.525196
,23.782398,-91.89132,-30.747513
,26.62911,-93.15555,-29.448643
,24.131433,-90.0957,-30.71192
549587,27.151117,-92.162865,-27.734127
,24.99591,-93.42868,-31.16835
,23.2595,-93.924545,-30.964247
,24.68676,-92.855415,-31.905775
549666,24.36994,-90.68384,-32.07945
,27.549353,-92.51637,-29.341505
,25.535898,-92.99178,-31.234707
,27.687605,-94.92654,-29.489302
549746,24.612696,-92.031654,-30.637766
,26.185097,-91.49154,-29.571255
,27.316015,-91.16657,-30.502525
,25.317553,-91.07926,-29.632545
549825,26.266941,-89.3936,-30.18121
,25.612143,-91.93538,-30.48721
,25.576214,-90.343025,-30.76544
,26.021547,-90.686615,-30.969517
549904,25.33553,-91.63505,-31.413418
,27.467188,-90.37418,-28.680843
,27.708652,-92.561615,-30.75245
,27.73998,-89.63496,-29.392748
549984,26.102072,-89.909096,-31.252785
,26.266941,-89.3936,-30.18121
,24.512148,-89.13276,-33.207306
,26.738352,-91.61141,-31.558811
550063,25.276484,-89.76777,-31.222202
,28.39335,-92.9336,-29.981863
,25.564724,-87.70516,-31.839804
,26.95328,-92.6853,-29.788013
550142,26.584652,-90.524635,-31.505318
,26.361595,-88.6131,-30.043488
,26.714022,-88.1369,-29.540876
,28.291025,-92.1158,-29.555836
550221,27.260359,-90.61873,-29.844296
,28.334303,-91.06633,-29.79065
,27.519453,-89.6026,-29.806093
,26.596708,-87.881805,-31.878033
550301,27.865532,-86.20769,-29.06642
,28.554398,-91.37856,-30.548399
,31.643118,-90.03034,-28.92824
,29.914053,-87.88439,-29.23718
550380,31.763418,-91.403946,-31.13514
,29.044756,-89.0724,-30.142881
,29.287651,-85.41942,-31.319374
,31.169096,-89.97257,-30.73724
550459,31.408031,-90.28084,-30.93367
,28.266403,-83.92037,-31.327173
,28.51344,-85.547066,-30.916258
,29.998426,-87.66562,-31.722311
550539,32.931236,-87.59159,-28.224188
,31.195282,-87.32678,-30.688963
,31.042011,-85.96014,-29.464375
,31.952835,-85.322945,-29.637896
550618,30.889631,-83.55293,-29.737568
,31.295536,-85.50476,-31.908695
,33.42533,-90.36419,-31.242332
,31.648394,-84.74869,-30.23499
550698,29.058594,-84.3485,-33.51116
,30.850204,-85.16116,-31.704618
,33.759464,-85.09209,-28.908144
,33.489307,-83.19047,-28.849613
550777,32.88635,-85.24055,-31.451958
,33.11465,-82.351204,-30.380562
,33.407925,-84.52774,-30.908539
,33.538074,-85.61948,-31.663681
550856,33.539825,-84.01918,-30.819273
,32.5108,-85.441826,-31.485123
,31.143154,-83.09756,-32.18189
,33.94363,-83.81195,-29.944128
550935,32.681377,-79.3648,-30.549198
,32.677876,-82.56538,-32.238018
,33.14719,-82.62414,-30.569347
,31.072939,-82.83256,-33.115746
551015,33.210945,-84.490425,-30.620232
,31.521338,-80.25545,-32.8021
,30.250418,-79.77053,-32.56744
,33.961716,-79.84774,-30.503199
551094,33.928745,-79.854675,-31.48551
,32.56613,-81.74955,-32.09265
,34.179173,-82.8008,-30.607576
,33.58485,-81.36943,-30.209675
551173,31.65324,-79.746895,-32.712833
,34.150917,-82.80674,-31.449556
,32.373867,-81.71124,-31.664013
,32.8491,-84.968605,-31.403503
551252,33.07786,-81.318596,-33.000984
,30.667921,-79.8402,-32.4424
,34.496887,-83.93182,-31.931684
,32.229473,-85.14249,-32.551662
551332,31.773972,-80.840614,-33.74864
,31.21044,-81.28247,-34.38393
,34.287098,-82.57707,-32.391056
,34.636562,-80.50158,-31.184368
551412,33.379665,-84.53369,-31.750519
,34.006523,-86.23799,-32.337204
,34.667675,-86.61493,-32.26827
,31.861279,-82.701935,-33.09787
551491,33.880653,-85.42513,-32.612827
,32.586723,-80.145294,-30.68692
,33.246124,-82.12253,-31.462393
,32.67317,-82.56636,-32.378345
551570,32.534805,-84.6762,-33.45235
,30.761257,-80.38012,-31.977991
,33.29871,-85.59109,-32.638348
,33.54542,-82.977646,-32.176723
551649,31.597475,-83.71905,-33.2764
,33.04914,-82.08521,-31.174088
,31.430077,-82.35537,-32.472805
,34.738,-82.35993,-30.112612
551729,30.006664,-83.98326,-33.73314
,32.82983,-85.25244,-33.135918
,34.156487,-82.24601,-28.967033
,31.422403,-80.757065,-31.909054
