timestamp,x,y,z
554425,-0.08375178,0.031107806,9.930569
,-0.088537596,0.009571632,9.94014
,-0.088537596,-0.019143265,9.932961
,-0.088537596,-0.002392908,9.911426
554504,-0.07896597,0.0,9.887496
,-0.09332342,0.031107806,9.978427
,-0.1196454,0.0071787243,9.920997
,-0.110073775,-0.009571632,9.880318
554584,-0.052643977,0.019143265,9.968855
,-0.12203831,-0.035893623,9.906639
,-0.09093051,0.0071787243,9.916211
,-0.105287954,0.028714897,9.913818
554664,-0.3230426,0.6269419,9.468738
,-0.12921704,0.057429794,9.978427
,-0.1483603,0.052643977,9.904246
,-0.31586388,0.35893622,10.169859
554743,-0.002392908,0.06460852,9.880318
,0.023929082,-0.014357449,9.853995
,0.12443122,0.12921704,9.763065
,-0.045465253,0.08135887,10.009535
554822,-0.08375178,-0.20339718,9.899461
,0.24168372,0.23211208,9.794173
,-0.15075321,-0.19861138,9.944926
,-0.028714897,-0.1459674,9.94014
554902,0.19621846,-0.11485959,9.983212
,0.19382556,-0.009571632,10.064571
,0.19861138,-0.12921704,10.105251
,-0.002392908,0.46422416,10.579046
554981,-0.13160995,-0.11485959,10.265575
,-0.1483603,-0.17707519,9.86596
,0.009571632,-0.27039862,9.076301
,-0.27279153,-0.10050214,9.84921
555060,-0.35415038,-0.18664683,10.308648
,-0.14357449,-0.48815325,9.777423
,-0.3565433,-0.6819788,9.67692
,-0.7872668,-0.39482984,10.373257
555139,-0.14357449,-0.5599405,9.708028
,-0.28954187,0.03828653,10.404365
,0.09332342,0.52165395,11.115058
,-0.51208234,-0.2967206,10.717835
555218,-0.33740005,-0.5025107,10.031071
,-0.58626246,-0.69155043,10.054999
,-0.5886554,-0.32064968,10.232075
,-0.45465255,-0.43550926,9.667349
555298,-0.37329367,-0.4139731,9.664956
,-0.4091873,-0.07418015,10.057393
,-0.3254355,-0.071787246,9.935354
,-0.20339718,-0.10289505,9.990392
555377,-0.2919348,-0.110073775,9.987998
,-0.39243692,-0.14118157,9.873138
,-0.30868515,-0.19621846,9.861175
,-0.33740005,-0.12921704,10.011928
555457,-0.28954187,0.002392908,9.906639
,-0.30389932,0.19861138,10.148323
,-0.33740005,-0.12443122,9.818102
,-0.57429796,-0.30389932,9.928176
555536,-0.4785816,-0.047858164,9.889889
,-0.34697166,-0.2967206,9.724778
,-0.2943277,0.1459674,9.909033
,-0.3828653,0.14118157,9.995177
555616,-0.4115802,0.2680057,10.050214
,-0.40679437,0.03828653,9.935354
,-0.4402951,-0.047858164,9.923389
,-0.45704544,0.07657306,10.019106
555695,-0.40200856,0.040679436,10.052607
,-0.4115802,0.11246668,10.198574
,-0.24168372,0.16511066,9.918604
,-0.31825677,0.016750356,9.911426
555774,-0.2656128,0.12682413,10.028678
,-0.24886245,0.15553902,9.925783
,-0.4737958,0.14118157,10.212932
,-0.43311638,-0.014357449,10.267968
555853,-0.3254355,0.1483603,9.925783
,-0.2967206,0.13639577,9.853995
,-0.21775463,0.37568656,9.923389
,-0.3804724,0.37329367,10.236861
555932,-0.34218585,0.208183,10.004748
,-0.26082698,0.24886245,9.870746
,-0.18903974,0.36611494,9.923389
,-0.22732627,0.5025107,9.959284
556012,-0.13400285,0.6795859,9.925783
,-0.5934412,-0.2943277,10.031071
,-0.24886245,0.41875893,9.906639
,-0.30868515,0.13400285,9.755886
556091,-0.42115182,0.18903974,9.655384
,-0.33979294,0.5695121,9.86596
,-0.3230426,0.50968945,10.136358
,-0.4139731,0.39482984,9.983212
556170,-0.40200856,0.3852582,9.885103
,-0.30868515,0.42833054,9.844424
,-0.22971918,0.5838696,9.901854
,-0.33500713,0.62454903,9.949712
556250,-0.33979294,0.70112205,10.174645
,-0.34936458,0.5886554,10.215324
,-0.36850783,0.4450809,9.777423
,-0.3828653,0.5527618,9.69367
556330,-0.27757734,0.7992313,9.767851
,-0.33740005,0.6676214,9.918604
,-0.3804724,0.72983694,9.9927845
,-0.4498667,0.63651353,9.813316
556409,-0.28475606,0.75855184,9.786994
,-0.27279153,0.7944455,9.887496
,-0.33500713,0.80641,9.873138
,-0.43550926,0.60301286,9.8922825
556488,-0.34697166,0.69872916,9.930569
,-0.42833054,0.7944455,10.110037
,-0.3852582,1.0050215,10.11243
,-0.34457877,0.46661708,9.856388
556567,-0.22732627,0.9834852,9.918604
,-0.30868515,0.9834852,9.923389
,-0.44747382,1.0863802,10.066964
,-0.37090075,1.1820966,10.0932865
556646,-0.39004403,0.9547703,9.904246
,-0.4977249,1.1150951,10.224896
,-0.5814767,0.9834852,9.925783
,-0.45704544,1.0480938,9.801352
556726,-0.4402951,1.3400285,9.987998
,-0.5144752,1.1270597,9.806137
,-0.6293348,1.1127023,9.880318
,-0.6460852,0.9475916,9.894675
556805,-0.49533197,1.1007377,9.696064
,-0.49293905,1.4429235,9.904246
,-0.3613291,1.4979604,9.736743
,-0.31586388,1.5673548,9.648206
556884,-0.45465255,1.483603,9.69367
,-0.5647263,1.5075321,9.612311
,-0.59583414,1.4046371,9.868353
,-0.46661708,1.4979604,9.559668
556963,-0.33740005,1.6415349,9.444808
,-0.37568656,1.5649619,9.463951
,-0.46901,1.5194967,9.779816
,-0.5025107,1.6032485,9.88271
557043,-0.39961565,1.6678569,9.796566
,-0.40200856,1.9047549,9.976034
,-0.36372203,1.8808258,9.763065
,-0.45943835,1.9502201,9.947319
557123,-0.50968945,1.718108,9.885103
,-0.598227,1.5984626,9.775029
,-0.3828653,1.8066456,9.755886
,-0.28714898,2.2493336,9.746315
557202,-0.38765112,2.0363648,9.803744
,-0.30389932,2.1249025,9.674527
,-0.5288327,1.8880045,9.67692
,-0.57429796,1.8880045,9.60274
557281,-0.4498667,1.720501,9.794173
,-0.40679437,2.2541194,9.684099
,-0.39961565,2.1009734,9.523774
,-0.4737958,2.079437,9.54531
557360,-0.6819788,2.005257,9.719993
,-0.7418015,1.8449322,9.729565
,-0.7130866,1.8927903,9.633848
,-0.5264398,2.3976939,9.538132
557440,-0.50968945,2.340264,9.621883
,-0.6221561,2.2469406,9.698457
,-0.96434194,1.899969,9.949712
,-0.71787244,2.134474,9.684099
557519,-0.7226582,2.3641932,9.576418
,-0.7418015,2.4120514,9.736743
,-0.7609448,2.5867336,9.698457
,-0.9739136,2.263691,9.863567
557598,-0.97152066,1.8545038,9.863567
,-0.9691278,2.1177237,9.684099
,-0.6556568,2.524518,9.384986
,-0.7968384,2.443159,9.56924
557677,-0.72744405,2.2014754,9.564454
,-0.7489802,2.3043704,9.33952
,-1.0528796,2.4934103,9.631455
,-0.99784267,2.5580187,9.67692
557757,-0.9212696,2.2277975,9.160052
,-0.7106937,2.4766598,9.028442
,-0.78487384,2.5364826,9.066729
,-1.1462029,2.555626,9.868353
557836,-1.2395264,2.1560102,9.779816
,-0.9667349,2.658521,9.39695
,-1.0576653,2.6896286,9.708028
,-0.98109233,2.5388756,9.514202
557916,-1.0648441,2.5604117,9.803744
,-1.2634555,2.502982,9.954497
,-1.2802058,2.1727605,9.497452
,-1.0217718,2.5651975,9.4998455
557995,-1.0074143,2.8595252,9.712814
,-1.1892753,2.41923,9.664956
,-1.170132,2.395301,9.401736
,-1.0289505,2.5101607,9.164838
558074,-1.014593,2.7542372,9.47113
,-0.8518753,2.2230117,8.992549
,-0.8446966,2.833203,9.078693
,-1.1509888,2.658521,8.973405
558154,-1.301742,2.6968074,9.28209
,-1.1342385,2.4646955,8.990156
,-1.3137065,2.5963054,9.377807
,-1.225169,2.730308,9.451987
558233,-1.1031306,2.8714898,9.39695
,-1.3256711,2.5340896,9.516596
,-1.2586696,2.6896286,9.408915
,-1.2443122,2.8499537,9.475916
558312,-1.1629534,2.9911351,9.552489
,-1.2849916,2.60827,9.58599
,-1.2754201,2.785345,9.497452
,-1.3137065,2.553233,9.4137
558391,-1.0576653,2.8978117,9.466345
,-1.1629534,2.6633067,9.509417
,-1.2634555,2.7542372,10.007142
,-1.0624512,2.761416,9.535739
558471,-1.14381,2.6369848,9.56206
,-1.0959519,2.8906329,9.621883
,-1.2108115,2.8475606,9.60274
,-1.1581675,2.782952,9.7176
