timestamp,x,y,z
554425,-2.17,-0.49,0.315
,-2.24,-0.595,0.665
,-1.96,-0.63,0.42000002
,-1.855,-0.735,0.315
554504,-2.1,-0.525,0.21000001
,-1.75,-0.595,0.175
,-1.4350001,-0.7,0.35
,-1.925,-0.7,0.28
554584,-1.505,-0.595,0.805
,-1.295,-0.665,0.28
,-1.47,-0.7,0.35
,-1.47,-0.56,1.12
554664,-3.01,-0.525,1.05
,-2.695,-0.595,0.805
,-1.4350001,-0.63,3.045
,-1.295,-0.77,4.795
554743,-0.385,-0.805,6.265
,0.35,-4.83,7.07
,-1.855,-5.04,5.915
,-3.78,-6.125,4.34
554822,-3.395,-6.16,2.8
,-2.45,-9.485,3.395
,-2.66,-8.82,0.14
,-2.135,-4.8650002,0.21000001
554902,-0.805,-1.155,2.765
,-1.995,2.415,1.75
,-11.27,6.965,-4.9
,-53.06,37.905,-38.15
554981,-31.325,17.99,-19.775
,-26.18,16.38,-15.82
,-15.715,11.4800005,-8.54
,-6.6150002,1.995,2.485
555060,1.05,-0.175,4.69
,8.295,1.26,7.84
,1.05,2.625,1.89
,-7.945,-0.91,-2.17
555139,-12.39,1.085,-2.45
,-8.54,-1.05,-1.4350001
,3.78,-3.15,-3.255
,6.825,1.155,-6.58
555218,5.6,6.125,-5.88
,5.145,3.92,-3.29
,5.6,3.78,-0.315
,6.37,3.395,2.135
555298,3.85,-0.245,3.395
,1.47,-0.84000003,3.78
,2.485,-1.575,3.22
,5.46,-2.03,3.535
555377,5.04,0.84000003,1.82
,5.25,-1.96,1.4350001
,1.96,-2.415,0.28
,0.7,-1.96,0.49
555457,0.105000004,-1.085,0.525
,1.225,-1.505,-0.455
,3.325,-0.49,-1.89
,3.43,-1.365,0.0
555536,-2.905,1.05,-0.455
,-5.075,1.54,-1.295
,0.7,-2.485,2.17
,3.5,-4.83,1.785
555616,5.32,-4.2,0.735
,2.975,-2.555,-1.6800001
,3.255,-3.535,-0.35
,0.77,-1.82,0.49
555695,-3.325,-0.035,-0.665
,-0.525,-0.105000004,1.715
,1.26,0.28,2.345
,2.415,-1.89,2.24
555774,3.15,-3.325,2.415
,6.965,-4.41,4.445
,7.735,-5.495,4.2
,1.925,-0.665,2.065
555853,-1.155,4.165,1.4
,1.6800001,0.735,3.535
,5.67,-3.57,4.795
,7.805,-4.305,3.815
555932,4.97,-1.4350001,2.1
,2.485,0.805,3.08
,0.665,1.505,3.255
,0.98,0.84000003,1.505
556012,5.18,-1.085,0.91
,-4.585,5.7400002,-8.61
,1.505,4.69,-2.695
,-0.035,7.84,-0.385
556091,-1.995,7.805,0.245
,-3.255,3.045,-1.4350001
,0.84000003,-0.63,-0.14
,3.675,-0.63,1.085
556170,2.275,-1.4350001,-0.21000001
,5.32,-2.52,2.59
,7.63,-3.85,4.585
,7.28,-4.9,4.795
556250,4.655,-3.99,1.855
,4.83,-1.54,2.135
,2.45,2.415,2.205
,3.29,2.1,4.55
556330,2.45,0.91,3.535
,3.815,-1.715,2.275
,5.565,-0.735,2.03
,6.86,-0.105000004,2.73
556409,5.67,0.315,2.38
,3.255,0.98,0.56
,3.99,-0.14,-0.21000001
,4.655,0.0,0.28
556488,4.445,-0.175,1.715
,2.38,0.665,2.03
,1.4,2.38,1.715
,1.925,2.275,-2.52
556567,9.24,-0.91,2.31
,9.8,-1.085,2.73
,8.47,-1.61,2.205
,6.195,-1.295,0.07
556646,6.195,-1.505,-0.28
,8.645,-1.05,2.24
,5.18,1.995,1.855
,1.855,2.03,0.91
556726,4.725,1.295,0.63
,11.76,-1.6800001,1.6800001
,14.945,-3.57,2.135
,11.69,-2.17,2.45
556805,5.565,1.6800001,3.22
,2.8,3.675,3.71
,4.27,3.045,3.71
,6.195,0.805,1.33
556884,7.91,0.49,-0.735
,13.2300005,-2.765,1.575
,12.565,-0.735,1.6800001
,10.045,2.975,1.33
556963,9.415,2.065,1.6800001
,10.745,-2.66,1.925
,10.5,-5.18,1.925
,9.695,-3.535,3.22
557043,4.34,-0.455,2.17
,2.415,1.085,1.26
,5.04,-0.35,1.925
,6.58,-2.135,1.33
557123,8.19,-1.855,2.38
,3.3600001,0.91,1.96
,-2.8700001,3.99,0.315
,0.665,3.955,1.61
557202,3.7450001,2.45,-0.805
,6.3,2.66,-2.765
,9.7300005,1.61,-2.275
,6.65,3.64,-2.835
557281,2.1,4.2,-2.45
,0.105000004,5.915,-2.555
,0.945,6.475,-2.38
,6.58,2.835,-0.42000002
557360,9.065,1.365,0.595
,7.35,3.3600001,0.805
,0.21000001,7.77,-1.33
,-2.275,8.26,-3.29
557440,5.705,2.345,-1.995
,12.495,-2.485,-0.665
,7.63,0.315,-1.995
,0.595,5.355,-2.625
557519,-0.175,7.28,-0.945
,1.47,4.62,-0.14
,5.18,2.1,-0.945
,9.205,-0.63,-1.015
557598,3.92,4.27,-3.29
,-0.875,6.23,-2.8700001
,-1.26,6.51,-1.47
,0.0,4.06,-1.4350001
557677,4.9,2.24,0.84000003
,5.845,3.85,0.455
,4.515,5.915,0.56
,-0.385,11.235,-3.185
557757,-1.715,11.305,-3.675
,-0.21000001,8.47,-2.24
,2.73,2.17,-2.135
,6.37,-3.15,-1.155
557836,0.315,2.94,-2.695
,-3.22,6.09,-2.485
,-2.275,3.5,-1.995
,3.08,-0.07,0.56
557916,5.635,-2.065,1.05
,2.555,2.695,-1.05
,-2.345,6.51,-1.155
,-4.48,5.705,0.56
557995,-0.42000002,3.115,1.6800001
,5.18,0.175,2.275
,4.095,1.715,1.82
,1.365,2.66,2.555
558074,0.84000003,2.065,3.08
,5.355,2.835,3.57
,6.055,4.375,3.92
,3.465,3.08,0.91
558154,5.39,-1.015,2.345
,-0.07,-0.07,0.385
,-2.485,0.385,0.595
,-3.3600001,1.155,0.245
558233,-1.12,0.42000002,0.525
,-1.645,0.07,-0.28
,-3.01,0.945,0.56
,-3.5,0.595,1.4
558312,-1.6800001,-0.84000003,0.98
,0.28,-2.24,1.47
,-2.03,0.07,-0.105000004
,-2.555,-1.4350001,0.42000002
558391,-0.735,-3.115,1.505
,-0.175,-4.095,1.6800001
,-1.96,-2.8,0.98
,-2.275,1.155,1.61
558471,-2.345,0.77,1.295
,1.47,-0.35,2.66
,3.255,-1.12,2.31
,1.82,0.28,2.345
