timestamp,x,y,z
563944,-0.069394335,-0.19621846,9.897068
,-0.09810923,-0.15553902,9.899461
,-0.12203831,-0.16271774,9.916211
,-0.071787246,-0.13878867,9.930569
564023,-0.08375178,-0.208183,9.9425335
,-0.06221561,-0.20339718,9.904246
,-0.069394335,-0.18664683,9.8922825
,-0.057429794,-0.15793194,9.901854
564102,-0.06221561,-0.21057591,9.904246
,-0.18425392,-0.24407662,9.954497
,-0.045465253,-0.16750357,9.9927845
,0.033500712,-0.17946811,9.976034
564182,-0.16032484,-0.35893622,9.947319
,-0.021536173,-0.16511066,10.122002
,0.69633627,-0.4402951,10.086107
,-1.196454,-0.6269419,10.87816
564261,0.31825677,-0.13878867,9.724778
,-0.3804724,-0.8518753,9.909033
,0.023929082,-0.46661708,9.719993
,-0.17707519,-0.650871,9.6410265
564340,-0.43550926,-0.8614469,9.629062
,-0.208183,-0.8877689,9.518989
,-0.42593765,-0.8805902,10.062179
,-0.28236315,-0.5360114,10.308648
564419,-0.36372203,-0.45465255,10.531189
,-0.416366,-0.6269419,10.095679
,-0.2392908,-1.0122001,9.920997
,-0.4977249,-0.6006199,10.177038
564499,-1.2084186,-0.47140288,11.488352
,-0.571905,-0.8040171,10.504867
,-0.28475606,-0.8997334,10.004748
,-0.4737958,-0.86862564,10.066964
564579,-0.416366,-0.7513731,9.9927845
,-0.53840435,-0.598227,10.224896
,-0.28236315,-0.61497736,9.617098
,-0.2943277,-0.6221561,9.6912775
564658,-0.41875893,-0.7609448,9.657777
,-0.50968945,-0.93562704,9.719993
,-0.4450809,-0.47140288,9.853995
,-0.33500713,-0.37568656,9.875532
564737,-0.37090075,-0.48097453,9.820495
,-0.40440148,-0.4785816,9.7415285
,-0.31107804,-0.37807947,9.669742
,-0.5025107,-0.63412064,9.784601
564816,-0.46183127,-0.416366,9.834852
,-0.5551547,-0.5527618,9.98082
,-0.598227,-0.4977249,10.203361
,-0.49533197,-0.27757734,10.064571
564896,-0.6101916,-0.39004403,10.131573
,-0.6101916,-0.42115182,10.155502
,-0.60301286,-0.42833054,9.952105
,-0.86623275,-0.50968945,10.023892
564975,-0.7968384,-0.6173703,10.002356
,-0.6532639,-0.41875893,9.947319
,-0.67240715,-0.598227,10.090894
,-0.8255533,-0.44747382,10.229682
565054,-0.63651353,-0.45704544,9.827674
,-0.7872668,-0.72983694,9.636241
,-0.73701566,-0.38765112,9.7917795
,-0.6460852,-0.071787246,9.846817
565133,-0.81358874,-0.4115802,9.73435
,-0.84230363,-0.3254355,9.832459
,-0.86623275,-0.31825677,9.918604
,-0.37090075,-0.57429796,9.779816
565213,-0.6795859,-0.22254045,9.899461
,-0.69872916,-0.2584341,10.138752
,-0.7705164,-0.2368979,10.0932865
,-0.87580436,-0.50968945,10.0932865
565292,-0.69872916,-0.43072346,9.947319
,-0.59583414,-0.035893623,9.944926
,-0.5814767,-0.110073775,9.755886
,-0.8566611,-0.18903974,10.162681
565372,-0.7346228,-0.2392908,9.999963
,-0.68915755,-0.088537596,9.961677
,-0.6819788,0.12203831,10.095679
,-0.69633627,0.047858164,10.095679
565451,-0.7154795,0.011964541,10.0932865
,-0.6939433,-0.043072347,9.995177
,-0.7705164,-0.19382556,9.952105
,-0.7418015,0.70112205,10.263183
565530,-1.0720228,-0.49293905,10.002356
,-0.7944455,0.18903974,9.868353
,-0.8183746,-0.045465253,9.679314
,-0.84948236,0.045465253,9.784601
565610,-0.6532639,0.12203831,9.672134
,-0.8614469,0.011964541,9.88271
,-0.8901618,0.0,9.932961
,-0.8734115,0.19861138,10.045428
565689,-0.7968384,0.24646953,9.813316
,-1.3831009,1.4453164,9.621883
,-1.1485959,0.13400285,10.193789
,-0.55754757,-0.002392908,9.84921
565768,-0.6748001,-0.07418015,9.98082
,-0.8518753,0.11485959,10.016713
,-0.6269419,0.8040171,10.157895
,-0.7394086,0.42354473,10.040643
565847,-0.7130866,0.42115182,9.80853
,-0.63172776,0.43072346,9.916211
,-0.7441944,0.40200856,10.019106
,-0.7059079,0.5144752,10.054999
565927,-0.77530223,0.5312256,9.937747
,-0.7633377,0.43311638,9.751101
,-0.84708947,0.39004403,10.011928
,-0.8279462,0.34697166,9.88271
566006,-0.7776951,0.46901,9.779816
,-0.8351249,0.13639577,9.923389
,-0.8805902,0.64129937,9.99757
,-0.75855184,0.6006199,9.904246
566085,-0.8518753,0.35415038,9.8922825
,-0.7776951,0.6389065,9.789387
,-0.6293348,0.7633377,9.612311
,-0.6652284,0.8734115,9.6003475
566165,-0.7992313,0.50968945,9.4495945
,-0.95955616,0.5599405,9.851603
,-0.7633377,0.71787244,9.7176
,-0.69872916,0.7681235,9.66017
566244,-0.66283554,0.7992313,9.763065
,-0.7513731,0.6197632,9.928176
,-0.64129937,0.832732,10.086107
,-0.75855184,0.7154795,10.325398
566324,-0.55036885,1.1150951,10.289505
,-0.6460852,1.1366314,10.373257
,-0.54797596,1.3663505,10.256004
,-0.6819788,1.0289505,10.023892
566403,-0.6819788,1.2108115,10.062179
,-0.67240715,1.1533817,9.94014
,-0.77290934,0.9475916,9.777423
,-0.70830077,1.0313433,9.932961
566482,-0.6843717,1.430959,10.0837145
,-0.6221561,1.6056414,9.964069
,-0.78487384,1.1773108,9.772636
,-0.9140909,0.8446966,9.638634
566561,-0.8710185,1.222776,9.60274
,-0.8829831,1.3352427,9.626669
,-0.7059079,1.720501,9.724778
,-0.55754757,2.1057591,9.818102
566641,-0.7394086,1.509925,9.684099
,-0.8805902,1.3113136,9.724778
,-0.9499845,1.4883888,9.947319
,-0.832732,1.9143264,10.01432
566720,-0.84708947,1.7563945,9.846817
,-0.92366254,1.5984626,9.837245
,-0.9763065,1.4955676,9.755886
,-0.92366254,1.6008555,9.6003475
566799,-0.94280577,2.0674727,9.870746
,-0.83991075,1.8784329,9.542917
,-0.80641,2.1272953,9.763065
,-1.014593,1.9573988,9.911426
566878,-0.93562704,1.7994668,9.631455
,-0.86623275,2.0674727,9.834852
,-0.7705164,2.1703677,9.609919
,-1.0122001,2.237369,9.999963
566958,-1.0863802,1.7946811,9.6410265
,-1.0504867,1.7922882,9.428058
,-1.0720228,2.110545,9.753493
,-0.92366254,2.0961876,9.5500965
567038,-0.9164838,2.0483294,9.473523
,-1.0002356,2.0890088,9.593168
,-1.0887731,2.1512244,9.777423
,-1.0911661,2.0555081,9.698457
567117,-0.8159817,2.0411506,9.466345
,-0.7992313,2.3833365,9.66017
,-0.87580436,2.4934103,9.595561
,-0.8614469,2.5340896,9.66017
567196,-1.0887731,2.474267,10.069357
,-1.0217718,2.2589052,9.746315
,-0.9763065,2.342657,9.483095
,-1.0792016,2.5843408,9.626669
567275,-1.0911661,2.6250203,9.475916
,-1.2562767,2.3641932,9.552489
,-1.301742,2.3761578,9.626669
,-1.2323477,2.4886243,9.514202
567355,-1.1055236,2.6704855,9.4137
,-1.1294526,2.6704855,9.638634
,-1.1150951,2.5867336,9.270126
,-1.2658484,2.4407663,9.451987
567434,-1.3137065,2.5915194,9.617098
,-1.1270597,2.7709875,9.217482
,-1.251491,2.3785505,9.325163
,-1.3496002,2.7135577,9.365842
567513,-0.9954498,2.2014754,9.181588
,-0.93323416,3.070101,9.686492
,-1.4501023,2.3881223,9.523774
,-1.2897775,2.7398798,9.58599
567592,-1.3208853,2.7279153,9.473523
,-1.2658484,2.6250203,9.313198
,-1.2132044,2.8044882,9.648206
,-1.2897775,2.811667,9.755886
567671,-1.2179902,2.7039862,9.260554
,-1.2012398,2.9265265,9.315591
,-1.2443122,2.916955,9.5500965
,-1.225169,3.0318146,9.631455
567751,-1.2849916,2.9265265,9.45438
,-1.4285661,2.7518444,9.619491
,-1.2897775,2.553233,9.143302
,-1.4285661,2.7374868,9.344306
567831,-1.3735292,2.7901309,9.380199
,-1.3232782,2.969599,9.574025
,-1.4668527,2.7542372,9.686492
,-1.2993491,2.8499537,9.090658
567910,-1.4142087,2.732701,9.284483
,-1.3376356,2.7662017,9.341913
,-1.4979604,2.7039862,9.219875
,-1.3663505,2.8978117,9.138516
567989,-1.4955676,2.8762755,8.937511
,-1.2921704,2.938491,8.784366
,-1.3878866,2.603484,8.865725
,-1.5003533,2.8523464,9.485488
568069,-1.3400285,2.995921,9.267733
,-1.4644598,2.7398798,9.384986
,-1.3663505,2.885847,9.468738
,-1.2275618,3.2160685,9.456773
568148,-1.4907818,2.8547394,9.595561
,-1.4501023,2.7374868,9.52856
,-1.4166015,2.8212388,9.736743
,-1.328064,2.9025974,9.483095
568227,-1.5673548,2.8595252,9.703242
,-1.4142087,2.9337053,9.58599
,-1.4429235,2.9265265,9.480701
,-1.4668527,2.9025974,9.535739
568306,-1.562569,2.8092742,9.363449
,-1.4381378,2.9289196,9.47113
,-1.3998512,2.967206,9.353878
,-1.4764243,2.8906329,9.341913
