timestamp,x,y,z
649280,1.301742,-1.5434257,10.323006
,1.3160994,-1.1581675,10.378042
,1.251491,-1.014593,10.567082
,1.2825987,-0.99784267,10.600583
649359,1.1605604,-1.1725249,10.102858
,1.0193789,-1.2802058,9.916211
,0.9763065,-1.0480938,9.870746
,0.93323416,-1.1342385,10.279933
649439,0.8925547,-1.1246668,10.198574
,0.8901618,-1.3256711,10.059786
,0.9021264,-1.2060257,9.897068
,0.89494765,-1.1988469,9.784601
649518,0.859054,-1.3902797,9.868353
,0.7441944,-1.301742,9.954497
,0.7968384,-1.0696299,9.789387
,0.9093051,-1.2849916,9.844424
649597,1.040915,-1.5960697,9.58599
,1.1031306,-1.6870002,9.346699
,1.0122001,-1.5242825,9.708028
,1.3496002,-1.6176059,9.918604
649676,1.8090385,-1.9191123,10.1842165
,1.9310769,-2.1895108,9.56924
,1.5793194,-2.7566302,8.91119
,1.5171037,-2.7877378,9.181588
649756,1.6798215,-2.2325833,10.040643
,1.7683591,-1.691786,9.99757
,1.8808258,-2.0746512,9.588383
,1.9573988,-2.3737648,8.92794
649835,2.1942968,-2.3857293,8.944691
,2.443159,-2.3809435,9.432844
,2.5915194,-2.2995846,9.743921
,2.6465564,-2.1679747,9.473523
649915,2.7207365,-2.3665862,9.442415
,2.6896286,-2.4694812,9.681706
,2.5723763,-2.0961876,9.727171
,2.4048727,-1.9717562,9.846817
649994,2.424016,-1.8329676,9.9927845
,2.2971919,-1.7252867,9.5907755
,2.2828343,-1.665464,9.222268
,2.21344,-1.6941789,9.02605
650073,2.2589052,-1.7779307,9.597955
,2.1942968,-1.7037506,9.88271
,2.1703677,-1.7276796,9.952105
,2.000471,-1.9191123,9.703242
650153,1.9406484,-2.2828343,9.645813
,1.9669704,-2.1990826,9.7176
,2.029186,-1.6965718,9.58599
,1.8927903,-1.4429235,9.533346
650232,1.720501,-1.4596739,9.315591
,1.720501,-1.7659662,9.619491
,1.588891,-1.6080343,9.523774
,1.586498,-1.509925,9.758279
650311,1.4261732,-1.6199988,9.731957
,1.3400285,-1.9310769,9.54531
,1.1007377,-1.9502201,9.420879
,0.8901618,-1.5194967,9.308413
650390,1.0528796,-1.1414171,10.483331
,1.2323477,-0.8710185,11.253847
,1.0815945,-1.5482116,11.174881
,0.69633627,-2.2924058,10.162681
650470,0.46901,-2.0914016,9.597955
,0.6006199,-1.2993491,9.954497
,0.61497736,-0.9858781,10.258397
,0.6006199,-1.0528796,10.210539
650549,0.5312256,-1.3208853,9.643419
,0.55036885,-1.61282,9.43045
,0.7106937,-1.7540016,9.5907755
,0.7992313,-1.742037,9.815709
650628,0.7154795,-1.8712541,9.593168
,0.6389065,-2.110545,9.428058
,0.6843717,-2.0411506,9.4137
,0.98109233,-1.8305746,9.729565
650708,1.040915,-1.3089207,9.652991
,1.0552725,-1.7372513,10.004748
,1.0983448,-1.8425392,9.861175
,1.0265576,-1.7276796,9.743921
650787,1.0050215,-1.7109293,9.973641
,1.0720228,-1.6487137,10.224896
,0.99784267,-1.823396,10.203361
,0.84708947,-1.8880045,9.983212
650867,0.9093051,-2.1584032,9.918604
,0.84948236,-2.2565124,9.818102
,0.81119585,-2.1799393,9.746315
,0.86862564,-2.1272953,9.729565
650946,0.8279462,-1.7324655,9.932961
,0.8734115,-1.9143264,10.157895
,0.8734115,-1.8449322,9.925783
,0.8997334,-1.6606783,9.724778
651025,0.90691215,-1.7276796,9.932961
,0.83033913,-1.718108,9.478309
,0.9093051,-1.899969,9.636241
,1.0624512,-1.4094229,9.6003475
651104,1.14381,-1.4620669,9.533346
,1.1820966,-1.5601761,9.440022
,1.0600582,-1.4477094,9.432844
,1.1222739,-1.5984626,10.062179
651184,1.4740313,-1.6343563,10.509652
,1.8138243,-2.029186,10.715443
,1.6870002,-2.6465564,9.832459
,1.3496002,-3.2447834,9.172017
651263,1.3160994,-3.1275308,9.258162
,1.3783151,-2.443159,9.6003475
,1.5075321,-1.8808258,9.801352
,1.74443,-1.8186102,9.444808
