timestamp,x,y,z
649280,65.71453,-273.8933,-90.347115
,67.64835,-273.15488,-89.66843
,65.29275,-273.54477,-89.44138
,69.44556,-272.926,-89.21933
649359,69.02081,-270.97815,-87.60953
,70.68009,-272.57922,-87.06335
,72.27989,-272.5929,-87.49704
,73.788864,-274.42667,-86.43035
649439,72.08466,-270.9553,-86.36433
,73.54226,-272.52008,-85.67017
,75.665276,-274.74066,-85.93784
,71.21669,-270.82288,-87.59672
649518,75.381744,-276.80228,-85.17991
,77.495445,-274.50482,-84.50644
,77.60851,-274.00024,-84.97849
,80.083496,-276.5053,-82.07468
649597,78.0774,-274.3389,-84.48092
,81.76854,-275.74048,-82.65131
,81.21485,-275.90048,-81.834854
,80.85004,-274.77936,-81.91404
649676,79.455345,-275.64062,-85.00128
,81.62928,-278.89084,-82.22754
,82.74868,-276.40884,-80.393196
,85.5701,-279.2783,-80.64039
649756,84.00843,-278.496,-81.75292
,83.727974,-277.63693,-80.47727
,82.434715,-280.35654,-82.49275
,85.245926,-279.74854,-80.30102
649835,86.01621,-283.10135,-83.56405
,83.82766,-281.09555,-80.24992
,86.58707,-280.49847,-79.60182
,84.279015,-280.11777,-80.64036
649915,87.24219,-282.1968,-79.34653
,84.839485,-282.5966,-80.52279
,88.03259,-284.70605,-78.53495
,87.66012,-281.98663,-78.05039
649994,84.407745,-287.0499,-82.29062
,87.056274,-285.07724,-79.15495
,87.166695,-287.21347,-78.97363
,88.25181,-286.0588,-77.79492
650073,87.9088,-286.53302,-78.01687
,88.011116,-287.35083,-78.442894
,88.089005,-289.21414,-78.07279
,89.21212,-292.2917,-75.82214
650153,87.891136,-290.21738,-76.2867
,88.663925,-295.93015,-77.58493
,87.40845,-294.12183,-77.25597
,88.67848,-295.6473,-75.99284
650232,86.53367,-291.8314,-75.58242
,87.68845,-295.74158,-75.86274
,88.67892,-295.36743,-74.821754
,87.88793,-298.13885,-74.18625
650311,88.44972,-299.2973,-74.39536
,88.13968,-299.76456,-73.635
,88.380684,-302.7127,-73.03773
,88.45693,-301.65628,-72.29023
650390,87.647224,-299.91168,-70.994255
,83.21605,-301.8304,-72.986916
,82.87304,-302.30463,-73.20887
,84.46253,-303.36084,-72.425446
650470,84.49286,-305.99472,-70.78976
,82.481155,-304.86984,-71.838554
,82.37063,-307.2536,-73.24168
,82.51402,-309.38287,-72.07805
650549,80.42913,-306.39374,-73.35661
,81.82921,-313.5309,-74.070435
,78.050735,-310.7488,-72.71083
,79.72207,-309.70706,-72.53736
650628,78.488396,-309.49408,-72.35116
,78.85792,-310.61423,-72.13164
,77.086784,-312.7173,-73.75426
,74.67292,-314.71936,-76.05558
650708,73.78575,-310.8316,-73.95861
,77.27213,-315.11755,-72.49875
,72.58068,-314.372,-76.821106
,73.02602,-314.71558,-77.025185
650787,70.22048,-310.24286,-75.512596
,71.26988,-316.25595,-75.88461
,70.16079,-317.69543,-78.93608
,70.54883,-314.57147,-78.10453
650867,70.12101,-315.54434,-77.01245
,67.89863,-314.10522,-77.02283
,70.377144,-312.92892,-76.270164
,69.19606,-316.18448,-77.25992
650946,68.20089,-316.55966,-78.44124
,67.84846,-317.03586,-78.94385
,65.60428,-314.0014,-78.81147
,65.49889,-316.1043,-78.90317
651025,63.099365,-309.0634,-78.339905
,63.2936,-316.26154,-79.19664
,65.163666,-313.65683,-78.467064
,63.666965,-317.9404,-81.17898
651104,63.016556,-316.2411,-81.29394
,62.03255,-315.01398,-81.3502
,63.84004,-314.22336,-78.27825
,61.564102,-314.39548,-80.676674
651184,61.354744,-312.76086,-79.96495
,61.551613,-317.31815,-81.47505
,57.176746,-310.46484,-80.51126
,58.513172,-311.21573,-79.95239
651263,55.768673,-315.2893,-82.89909
,58.10334,-312.7444,-80.641174
,56.136547,-313.48975,-82.30218
,55.81841,-312.63858,-82.14916
651342,56.578033,-313.2746,-80.3044
,57.05547,-314.171,-81.868355
,56.630302,-312.50302,-81.42964
,54.345802,-312.11734,-81.766525
651421,50.85164,-310.75305,-83.884445
,53.789616,-309.9174,-82.91486
,51.666058,-312.49667,-85.04009
,51.341995,-308.4469,-83.47892
651500,46.03989,-308.6339,-85.9999
,49.618855,-309.49954,-85.19602
,48.801476,-306.15668,-83.33629
,48.607025,-307.9985,-84.92316
