timestamp,x,y,z
649280,29.855,-28.49,82.11
,33.075,-28.84,80.78
,29.54,-29.61,82.18
,24.885,-31.465,84.665
649359,23.94,-32.27,86.765
,27.16,-32.48,87.185
,29.715,-31.64,87.5
,26.6,-32.13,88.305
649439,25.235,-33.32,89.495
,24.185,-33.74,89.32
,26.495,-33.39,88.83
,25.655,-33.845,88.375
649518,29.05,-33.845,87.675
,30.905,-34.265,85.855
,30.8,-32.585,85.75
,25.515,-31.325,86.695
649597,27.86,-30.765,86.415
,31.99,-27.685,85.505
,34.685,-21.805,85.33
,29.54,-18.935,86.485
649676,23.765,-21.35,89.6
,19.355,-25.97,93.415
,13.79,-25.76,92.435
,21.875,-21.525,88.095
649756,30.52,-21.210001,84.21
,30.52,-22.26,84.77
,25.13,-23.1,87.115
,23.485,-20.405,87.675
649835,26.775,-14.735,86.38
,27.44,-12.005,86.1
,25.375,-13.265,87.43
,25.13,-14.805,89.145
649915,22.855,-13.895,90.195
,21.035,-14.175,89.915
,21.14,-16.52,90.090004
,20.335001,-19.425,90.44
649994,24.115,-21.735,90.615
,23.065,-23.87,92.155
,22.855,-24.885,93.205
,20.195,-23.59,94.745
650073,21.210001,-22.855,95.41
,24.57,-24.885,96.145
,22.4,-28.105,98.49
,20.545,-29.19,100.415
650153,19.95,-29.365,99.855
,23.415,-30.065,97.79
,27.615,-31.885,97.65
,27.72,-33.215,99.75
650232,25.06,-31.99,102.865
,22.68,-31.745,104.79
,26.32,-30.87,105.175
,25.375,-31.325,106.855
650311,22.785,-33.04,109.585
,20.44,-34.3,110.88
,24.115,-32.935,108.885
,30.31,-28.175,106.365
650390,30.66,-24.08,105.525
,27.755001,-24.815,107.520004
,20.055,-30.59,110.845
,20.58,-34.195,109.62
650470,22.75,-33.145,104.51
,25.025,-30.17,100.45
,23.66,-29.645,99.995
,22.505,-31.745,101.22
650549,23.835001,-32.515,102.06
,22.82,-31.08,101.465004
,21.595,-29.855,99.995
,21.49,-31.08,98.805
650628,20.475,-33.6,97.93
,24.255,-34.405,95.095
,26.25,-32.655,90.965004
,28.735,-30.66,87.605
650708,29.26,-29.575,86.94
,28.0,-29.715,87.22
,30.03,-29.75,86.205
,30.03,-27.79,85.295
650787,30.555,-26.215,85.26
,30.03,-26.215,86.1
,26.285,-28.07,87.85
,23.1,-29.365,89.04
650867,22.61,-29.54,89.075
,24.710001,-29.05,87.395
,24.745,-29.05,85.89
,24.01,-28.735,84.42
650946,24.675,-28.07,83.65
,21.595,-29.47,84.21
,23.205,-30.905,83.93
,22.54,-31.325,84.035
651025,23.905,-31.465,83.755
,21.77,-31.57,84.875
,20.615,-31.045,85.05
,23.8,-29.68,85.365
651104,24.08,-27.475,86.975
,27.685,-24.605,88.445
,27.965,-19.67,90.335
,25.655,-15.085,92.75
651184,25.515,-12.81,96.04
,19.25,-16.695,101.535
,12.95,-23.24,106.155
,10.43,-26.25,104.405
651263,13.58,-26.95,97.685
,20.51,-26.6,91.735
,24.885,-26.32,89.18
,22.75,-26.880001,90.23
651342,23.45,-24.5,91.665
,22.505,-21.91,92.015
,21.945,-19.775,91.805
,24.395,-18.41,91.595
651421,22.925,-18.655,93.905
,20.055,-20.93,97.475
,17.5,-25.235,98.7
,18.9,-27.055,97.23
651500,20.51,-28.0,95.69
,20.16,-29.575,95.55
,20.475,-33.005,95.375
,23.695,-35.77,94.815
651580,24.92,-35.63,94.99
,22.47,-34.37,94.605
,20.055,-33.670002,94.605
,20.405,-33.53,94.15
651660,21.42,-34.51,94.71
,24.01,-34.93,95.795
,26.285,-34.405,96.425
,24.885,-32.55,97.335
651739,25.025,-31.57,98.385
,24.185,-32.795002,100.45
,22.89,-35.105,102.340004
,21.07,-36.12,103.04
651818,22.12,-35.595,103.495
,30.380001,-30.380001,103.25
,25.585001,-25.2,106.365
,19.565,-25.025,112.35
651898,10.535,-30.625,118.055
,-0.21000001,-34.825,119.28
,2.135,-35.945,114.8
,10.955,-35.665,108.5
651977,21.665,-34.755,104.615
,14.1050005,-34.58,105.56
,8.785,-35.035,105.07
,13.93,-34.405,101.605
652056,16.765,-32.83,99.68
,18.62,-32.375,99.295
,19.04,-34.195,99.4
,20.3,-35.0,97.3
652135,19.95,-36.19,94.15
,22.68,-37.555,91.21
,25.41,-39.235,90.79
,22.785,-40.635,91.525
652215,23.625,-39.235,90.195
,25.935,-37.695,87.115
,26.775,-36.715,85.54
,28.105,-37.24,85.505
652294,29.015,-37.415,86.205
,28.210001,-36.68,87.29
,27.65,-35.595,88.83
,28.77,-34.37,89.705
652374,28.56,-33.18,89.915
,28.525,-31.815,90.125
,27.93,-31.64,91.595
,26.95,-32.13,93.065
652453,28.91,-32.655,93.835
,28.28,-33.11,95.55
,26.74,-34.825,97.335
,26.880001,-36.26,98.77
652532,24.045,-36.715,98.315
,24.29,-37.205,96.18
,26.39,-35.84,93.590004
,25.06,-34.545002,91.56
652612,25.13,-34.055,91.385
,29.4,-33.915,91.21
,27.86,-34.16,92.155
,26.005,-34.055,91.945
652691,23.94,-33.95,90.825
,20.09,-34.125,88.865
,20.055,-35.035,85.575
,20.965,-34.755,82.67
652770,22.4,-32.095,79.135
,27.02,-28.28,76.265
,29.54,-23.625,74.97
,28.875,-21.665,75.985
652849,26.95,-21.77,78.435
,23.555,-22.785,79.03
,25.025,-22.82,77.805
,25.165,-20.755,75.6
